exp_type,n,d,int8,gpu_lat,npu_lat,smart_lat,winner,speedup,plan
int8_multidim_sweep,1,1536,1,1.8053054809570312,1.7745494842529297,1.8444061279296875,NPU_INT8,1.515253360910031,"('GPU', 'GPU')"
int8_multidim_sweep,128,1536,1,15.494346618652344,32.001495361328125,15.825986862182617,GPU_INT8,2.1722532728724446,"('GPU', 'GPU')"
int8_multidim_sweep,512,1536,1,23.229360580444336,136.73019409179688,26.342391967773438,GPU_INT8,4.168407428861053,"('GPU', 'GPU')"
int8_multidim_sweep,1024,1536,1,53.10869216918945,267.12894439697266,52.55270004272461,Smart_INT8,3.6591674152307845,"('GPU', 'GPU')"
int8_multidim_sweep,1,2048,1,2.6040077209472656,2.4988651275634766,2.7234554290771484,NPU_INT8,0.881729843298608,"('GPU', 'NPU')"
int8_multidim_sweep,128,2048,1,10.149955749511719,40.13991355895996,10.21885871887207,GPU_INT8,4.008329250367467,"('GPU', 'GPU')"
int8_multidim_sweep,512,2048,1,36.631107330322266,185.4879856109619,36.62371635437012,Smart_INT8,3.476326565154839,"('GPU', 'GPU')"
int8_multidim_sweep,1024,2048,1,88.30809593200684,249.33695793151855,88.75250816345215,GPU_INT8,2.598417751272649,"('GPU', 'GPU')"
int8_multidim_sweep,1,4096,1,8.309125900268555,6.234169006347656,4.533052444458008,Smart_INT8,1.9893756903171513,"('GPU', 'NPU')"
int8_multidim_sweep,128,4096,1,31.452178955078125,66.10655784606934,57.19804763793945,GPU_INT8,1.8340433336390085,"('GPU', 'GPU')"
int8_multidim_sweep,512,4096,1,149.39522743225098,306.38718605041504,146.1794376373291,Smart_INT8,2.6638656969831405,"('GPU', 'GPU')"
int8_multidim_sweep,1024,4096,1,331.4485549926758,603.278398513794,338.8650417327881,GPU_INT8,2.4909009549687857,"('GPU', 'GPU')"
