exp_type,n,d,int8,gpu_lat,npu_lat,smart_lat,winner,speedup,plan
decode_sweep,1,768,0,1.1394023895263672,1.2400150299072266,0.9605884552001953,Smart,1.186150409530901,"('NPU', 'GPU')"
decode_sweep,1,1024,0,1.5225410461425781,1.8622875213623047,1.3637542724609375,Smart,1.1164335664335665,"('NPU', 'GPU')"
decode_sweep,1,1536,0,2.7794837951660156,2.9439926147460938,3.602743148803711,GPU,1.0,"('GPU', 'GPU')"
decode_sweep,1,2048,0,4.549741744995117,4.950523376464844,5.00178337097168,GPU,1.0,"('GPU', 'NPU')"
decode_sweep,1,2560,0,3.6945343017578125,6.618261337280273,7.257938385009766,GPU,1.0,"('GPU', 'GPU')"
decode_sweep,1,3072,0,7.592678070068359,9.924173355102539,6.979703903198242,Smart,1.0878223740392827,"('GPU', 'GPU')"
decode_sweep,1,4096,0,8.386611938476562,12.46333122253418,9.005069732666016,GPU,1.0,"('GPU', 'GPU')"
