exp_type,n,d,int8,gpu_lat,npu_lat,smart_lat,winner,speedup,plan
prefill_multidim,32,1536,0,12.221336364746094,9.984493255615234,11.251688003540039,NPU,1.2240317111609915,"('GPU', 'GPU')"
prefill_multidim,40,1536,0,8.983135223388672,12.287378311157227,12.907028198242188,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,64,1536,0,11.766195297241211,18.208742141723633,11.133909225463867,Smart,1.056789224608664,"('GPU', 'GPU')"
prefill_multidim,100,1536,0,19.219398498535156,32.644033432006836,19.962787628173828,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,128,1536,0,30.306100845336914,38.4821891784668,25.844097137451172,Smart,1.1726507869148877,"('GPU', 'GPU')"
prefill_multidim,180,1536,0,35.41374206542969,51.471710205078125,34.1792106628418,Smart,1.036119365504541,"('GPU', 'GPU')"
prefill_multidim,256,1536,0,42.78421401977539,70.1296329498291,38.94972801208496,Smart,1.0984470547907472,"('GPU', 'GPU')"
prefill_multidim,380,1536,0,66.11394882202148,88.2573127746582,55.977821350097656,Smart,1.1810739901528187,"('GPU', 'GPU')"
prefill_multidim,512,1536,0,106.40645027160645,186.83266639709473,107.14507102966309,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,725,1536,0,150.8955955505371,194.85235214233398,143.98765563964844,Smart,1.0479759176590586,"('GPU', 'GPU')"
prefill_multidim,1024,1536,0,202.33392715454102,365.57841300964355,212.30292320251465,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,1500,1536,0,327.8541564941406,376.7049312591553,371.72889709472656,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,32,2048,0,9.626150131225586,13.236522674560547,14.201164245605469,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,40,2048,0,25.04587173461914,17.464399337768555,28.196096420288086,NPU,1.4341101145376856,"('GPU', 'NPU')"
prefill_multidim,64,2048,0,20.056962966918945,26.145219802856445,17.815828323364258,Smart,1.1257945801271327,"('GPU', 'GPU')"
prefill_multidim,100,2048,0,29.78682518005371,43.727874755859375,44.378042221069336,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,128,2048,0,32.041072845458984,53.62057685852051,40.58337211608887,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,180,2048,0,38.98811340332031,73.28987121582031,38.34724426269531,Smart,1.0167122606316836,"('GPU', 'GPU')"
prefill_multidim,256,2048,0,56.976318359375,118.60060691833496,55.380821228027344,Smart,1.028809560710165,"('GPU', 'GPU')"
prefill_multidim,380,2048,0,90.12818336486816,107.36560821533203,97.49794006347656,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,512,2048,0,124.4962215423584,250.98705291748047,128.38459014892578,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,725,2048,0,147.1254825592041,242.70176887512207,145.52617073059082,Smart,1.0109898571547935,"('GPU', 'GPU')"
prefill_multidim,1024,2048,0,301.33724212646484,528.4249782562256,297.88923263549805,Smart,1.0115748040318928,"('GPU', 'GPU')"
prefill_multidim,1500,2048,0,319.86260414123535,543.205976486206,307.99412727355957,Smart,1.0385347505575462,"('GPU', 'GPU')"
prefill_multidim,32,4096,0,27.76789665222168,43.041229248046875,26.25751495361328,Smart,1.0575218828315114,"('GPU', 'GPU')"
prefill_multidim,40,4096,0,32.46569633483887,55.75394630432129,40.61770439147949,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,64,4096,0,60.695648193359375,65.47904014587402,47.07956314086914,Smart,1.2892143457607892,"('GPU', 'GPU')"
prefill_multidim,100,4096,0,88.08326721191406,114.87889289855957,91.78876876831055,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,128,4096,0,101.06348991394043,149.11699295043945,100.74496269226074,Smart,1.0031617185928459,"('GPU', 'GPU')"
prefill_multidim,180,4096,0,140.49863815307617,208.13965797424316,141.81232452392578,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,256,4096,0,193.3140754699707,290.99559783935547,188.86065483093262,Smart,1.0235804574702168,"('GPU', 'GPU')"
prefill_multidim,380,4096,0,284.68871116638184,420.6714630126953,280.51042556762695,Smart,1.0148952952115768,"('GPU', 'GPU')"
prefill_multidim,512,4096,0,388.41795921325684,628.2758712768555,378.004789352417,Smart,1.0275477193785805,"('GPU', 'GPU')"
prefill_multidim,725,4096,0,580.0673961639404,872.133731842041,558.5732460021973,Smart,1.038480450532818,"('GPU', 'GPU')"
decode_sweep,1,768,0,0.6499290466308594,1.3365745544433594,1.0190010070800781,GPU,1.0,"('NPU', 'GPU')"
decode_sweep,1,1024,0,1.5561580657958984,1.4338493347167969,1.4493465423583984,NPU,1.0853009644163618,"('NPU', 'GPU')"
decode_sweep,1,1536,0,2.740621566772461,2.6645660400390625,3.4432411193847656,NPU,1.0285433070866141,"('GPU', 'GPU')"
decode_sweep,1,2048,0,4.495382308959961,4.252433776855469,5.339622497558594,NPU,1.0571316438663378,"('GPU', 'NPU')"
int8_multidim_sweep,1,1536,1,1.8131732940673828,2.254486083984375,1.7993450164794922,Smart_INT8,1.512521531734464,"('GPU', 'GPU')"
