exp_type,n,d,int8,gpu_lat,npu_lat,smart_lat,winner,speedup,plan
prefill_multidim,32,1536,0,11.18922233581543,8.841753005981445,10.633468627929688,NPU,1.265498179857085,"('GPU', 'GPU')"
prefill_multidim,40,1536,0,7.924318313598633,10.587453842163086,14.15395736694336,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,64,1536,0,21.33965492248535,16.819477081298828,20.35379409790039,NPU,1.268746633402319,"('GPU', 'GPU')"
prefill_multidim,100,1536,0,18.149137496948242,27.109861373901367,33.27178955078125,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,128,1536,0,20.42531967163086,32.5770378112793,19.320011138916016,Smart,1.0572105535947873,"('GPU', 'GPU')"
prefill_multidim,180,1536,0,29.38365936279297,44.693946838378906,28.429508209228516,Smart,1.0335619999664547,"('GPU', 'GPU')"
prefill_multidim,256,1536,0,37.35685348510742,80.12819290161133,34.62529182434082,Smart,1.0788892025697348,"('GPU', 'GPU')"
prefill_multidim,380,1536,0,61.858177185058594,99.78294372558594,56.046247482299805,Smart,1.1036988195256834,"('GPU', 'GPU')"
prefill_multidim,512,1536,0,95.42250633239746,241.39904975891113,93.60384941101074,Smart,1.0194292962611085,"('GPU', 'GPU')"
prefill_multidim,725,1536,0,141.3266658782959,226.93800926208496,141.07799530029297,Smart,1.001762646098519,"('GPU', 'GPU')"
prefill_multidim,1024,1536,0,194.97418403625488,552.9401302337646,191.48802757263184,Smart,1.0182056105951625,"('GPU', 'GPU')"
prefill_multidim,1500,1536,0,317.6395893096924,363.4912967681885,336.5044593811035,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,32,2048,0,8.999109268188477,12.37940788269043,11.473417282104492,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,40,2048,0,13.610363006591797,14.958858489990234,27.246952056884766,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,64,2048,0,16.726016998291016,22.554874420166016,15.86461067199707,Smart,1.0542973505057032,"('GPU', 'GPU')"
prefill_multidim,100,2048,0,27.472496032714844,37.11056709289551,65.47164916992188,GPU,1.0,"('GPU', 'NPU')"
prefill_multidim,128,2048,0,32.462120056152344,45.617103576660156,45.272111892700195,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,180,2048,0,44.36635971069336,63.35258483886719,43.86639595031738,Smart,1.0113974204979645,"('GPU', 'GPU')"
prefill_multidim,256,2048,0,54.31723594665527,95.64375877380371,60.039520263671875,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,380,2048,0,83.67347717285156,137.5894546508789,83.21809768676758,Smart,1.005472120833596,"('GPU', 'GPU')"
prefill_multidim,512,2048,0,112.4429702758789,251.5568733215332,124.18007850646973,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,725,2048,0,179.5644760131836,333.665132522583,130.0187110900879,Smart,1.3810664211919947,"('GPU', 'GPU')"
prefill_multidim,1024,2048,0,281.54945373535156,498.69728088378906,280.04980087280273,Smart,1.005354950647617,"('GPU', 'GPU')"
prefill_multidim,1500,2048,0,303.4629821777344,501.2335777282715,290.1182174682617,Smart,1.045997679242368,"('GPU', 'GPU')"
prefill_multidim,32,4096,0,23.802995681762695,43.160438537597656,26.31831169128418,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,40,4096,0,32.31024742126465,42.43803024291992,42.42086410522461,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,64,4096,0,46.54741287231445,61.54751777648926,45.82786560058594,Smart,1.0157010862779374,"('GPU', 'GPU')"
prefill_multidim,100,4096,0,76.33233070373535,103.00898551940918,75.59013366699219,Smart,1.0098187025308472,"('GPU', 'GPU')"
prefill_multidim,128,4096,0,89.38360214233398,130.9370994567871,88.67454528808594,Smart,1.0079961713019725,"('GPU', 'GPU')"
prefill_multidim,180,4096,0,124.94182586669922,185.2877140045166,125.11420249938965,GPU,1.0,"('GPU', 'GPU')"
prefill_multidim,256,4096,0,180.4523468017578,264.3110752105713,178.91168594360352,Smart,1.008611292493437,"('GPU', 'GPU')"
prefill_multidim,380,4096,0,268.7408924102783,405.61819076538086,267.3964500427246,Smart,1.005027899088933,"('GPU', 'GPU')"
prefill_multidim,512,4096,0,362.14566230773926,700.7615566253662,361.68742179870605,Smart,1.001266951741795,"('GPU', 'GPU')"
prefill_multidim,725,4096,0,558.6390495300293,869.5979118347168,540.2231216430664,Smart,1.034089484787233,"('GPU', 'GPU')"
decode_sweep,1,768,0,1.0135173797607422,0.904083251953125,0.9567737579345703,NPU,1.1210443037974684,"('NPU', 'GPU')"
decode_sweep,1,1024,0,1.5397071838378906,1.283884048461914,1.3494491577148438,NPU,1.1992571959145775,"('NPU', 'GPU')"
decode_sweep,1,1536,0,2.733469009399414,3.992319107055664,2.7163028717041016,Smart,1.0063196699727903,"('GPU', 'GPU')"
decode_sweep,1,2048,0,4.359722137451172,5.631685256958008,4.122018814086914,Smart,1.057666724506912,"('GPU', 'NPU')"
int8_multidim_sweep,1,1536,1,1.2242794036865234,3.177642822265625,1.7573833465576172,GPU_INT8,0.8684032017365351,"('GPU', 'GPU')"
